"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 17:12:36 GMT 2023","Tue Jul 25 17:12:37 GMT 2023","990","chromium","","","","","Validar status code 404 com veículo não existente",""
"passed","Tue Jul 25 17:12:33 GMT 2023","Tue Jul 25 17:12:36 GMT 2023","2578","chromium","","","","","Validar o endpoint GET /starships",""
"passed","Tue Jul 25 17:12:18 GMT 2023","Tue Jul 25 17:12:19 GMT 2023","914","chromium","","","","","Validar status code 404 com personagem não existente",""
"passed","Tue Jul 25 17:12:24 GMT 2023","Tue Jul 25 17:12:27 GMT 2023","2635","chromium","","","","","Validar o endpoint GET /planets",""
"passed","Tue Jul 25 17:12:27 GMT 2023","Tue Jul 25 17:12:28 GMT 2023","982","chromium","","","","","Validar o endpoint GET /species",""
"passed","Tue Jul 25 17:12:22 GMT 2023","Tue Jul 25 17:12:23 GMT 2023","888","chromium","","","","","Validar o endpoint GET /planets/{id}",""
"passed","Tue Jul 25 17:12:08 GMT 2023","Tue Jul 25 17:12:09 GMT 2023","872","chromium","","","","","Validar status code 404 com filme não existente",""
"passed","Tue Jul 25 17:12:17 GMT 2023","Tue Jul 25 17:12:18 GMT 2023","1252","chromium","","","","","Validar o endpoint GET /people/{id}",""
"passed","Tue Jul 25 17:12:37 GMT 2023","Tue Jul 25 17:12:39 GMT 2023","2167","chromium","","","","","Validar o endpoint GET /vehicles",""
"passed","Tue Jul 25 17:12:19 GMT 2023","Tue Jul 25 17:12:22 GMT 2023","3236","chromium","","","","","Validar o endpoint GET /people",""
"passed","Tue Jul 25 17:12:09 GMT 2023","Tue Jul 25 17:12:17 GMT 2023","8130","chromium","","","","","Validar o endpoint GET /films",""
"passed","Tue Jul 25 17:12:36 GMT 2023","Tue Jul 25 17:12:36 GMT 2023","749","chromium","","","","","Validar o endpoint GET /vehicles/{id}",""
"passed","Tue Jul 25 17:12:29 GMT 2023","Tue Jul 25 17:12:31 GMT 2023","2781","chromium","","","","","Validar o endpoint GET /species",""
"passed","Tue Jul 25 17:12:32 GMT 2023","Tue Jul 25 17:12:33 GMT 2023","530","chromium","","","","","Validar status code 404 com espaçonave não existente",""
"passed","Tue Jul 25 17:12:23 GMT 2023","Tue Jul 25 17:12:24 GMT 2023","918","chromium","","","","","Validar status code 404 com planeta não existente",""
"passed","Tue Jul 25 17:12:06 GMT 2023","Tue Jul 25 17:12:08 GMT 2023","1974","chromium","","","","","Validar o endpoint GET /films/{id}/",""
"passed","Tue Jul 25 17:12:28 GMT 2023","Tue Jul 25 17:12:29 GMT 2023","756","chromium","","","","","Validar status code 404 com espécie não existente",""
"passed","Tue Jul 25 17:12:31 GMT 2023","Tue Jul 25 17:12:32 GMT 2023","1091","chromium","","","","","Validar o endpoint GET /starships/{id}",""
